"Date","Time","Open","High","Low","Close","Vol","OI"
06/30/1999,17:00,120.12,120.12,120.12,120.12,0,0
07/01/1999,17:00,120.80,120.80,120.80,120.80,0,0
07/02/1999,17:00,120.44,120.44,120.44,120.44,0,0
07/06/1999,17:00,119.27,119.27,119.27,119.27,0,0
07/07/1999,17:00,120.46,120.46,120.46,120.46,0,0
07/08/1999,17:00,119.08,119.08,119.08,119.08,0,0
07/09/1999,17:00,119.14,119.14,119.14,119.14,0,0
07/12/1999,17:00,122.10,122.10,122.10,122.10,0,0
07/13/1999,17:00,119.39,119.39,119.39,119.39,0,0
07/14/1999,17:00,118.45,118.45,118.45,118.45,0,0
07/15/1999,17:00,119.90,119.90,119.90,119.90,0,0
07/16/1999,17:00,122.20,122.20,122.20,122.20,0,0
07/19/1999,17:00,122.40,122.40,122.40,122.40,0,0
07/20/1999,17:00,121.13,121.13,121.13,121.13,0,0
07/21/1999,17:00,119.48,119.48,119.48,119.48,0,0
07/22/1999,17:00,119.29,119.29,119.29,119.29,0,0
07/23/1999,17:00,118.85,118.85,118.85,118.85,0,0
07/26/1999,17:00,118.23,118.23,118.23,118.23,0,0
07/27/1999,17:00,115.04,115.04,115.04,115.04,0,0
07/28/1999,17:00,117.85,117.85,117.85,117.85,0,0
07/29/1999,17:00,119.60,119.60,119.60,119.60,0,0
07/30/1999,17:00,119.28,119.28,119.28,119.28,0,0
08/02/1999,17:00,120.09,120.09,120.09,120.09,0,0
08/03/1999,17:00,120.01,120.01,120.01,120.01,0,0
08/04/1999,17:00,118.57,118.57,118.57,118.57,0,0
08/05/1999,17:00,119.83,119.83,119.83,119.83,0,0
08/06/1999,17:00,121.41,121.41,121.41,121.41,0,0
08/09/1999,17:00,119.54,119.54,119.54,119.54,0,0
08/10/1999,17:00,118.59,118.59,118.59,118.59,0,0
08/11/1999,17:00,120.69,120.69,120.69,120.69,0,0
08/12/1999,17:00,121.69,121.69,121.69,121.69,0,0
08/13/1999,17:00,128.40,128.40,128.40,128.40,0,0
08/16/1999,17:00,122.16,122.16,122.16,122.16,0,0
08/17/1999,17:00,122.69,122.69,122.69,122.69,0,0
08/18/1999,17:00,119.82,119.82,119.82,119.82,0,0
08/19/1999,17:00,119.74,119.74,119.74,119.74,0,0
08/20/1999,17:00,122.98,122.98,122.98,122.98,0,0
08/23/1999,17:00,117.83,117.83,117.83,117.83,0,0
08/24/1999,17:00,119.02,119.02,119.02,119.02,0,0
08/25/1999,17:00,119.02,119.02,119.02,119.02,0,0
08/26/1999,17:00,118.60,118.60,118.60,118.60,0,0
08/27/1999,17:00,118.25,118.25,118.25,118.25,0,0
08/30/1999,17:00,116.65,116.65,116.65,116.65,0,0
08/31/1999,17:00,117.64,117.64,117.64,117.64,0,0
09/01/1999,17:00,117.48,117.48,117.48,117.48,0,0
09/02/1999,17:00,119.28,119.28,119.28,119.28,0,0
09/03/1999,17:00,122.87,122.87,122.87,122.87,0,0
09/07/1999,17:00,120.73,120.73,120.73,120.73,0,0
09/08/1999,17:00,119.32,119.32,119.32,119.32,0,0
09/09/1999,17:00,119.61,119.61,119.61,119.61,0,0
09/10/1999,17:00,119.94,119.94,119.94,119.94,0,0
09/13/1999,17:00,118.73,118.73,118.73,118.73,0,0
09/14/1999,17:00,117.66,117.66,117.66,117.66,0,0
09/15/1999,17:00,118.23,118.23,118.23,118.23,0,0
09/16/1999,17:00,119.68,119.68,119.68,119.68,0,0
09/17/1999,17:00,119.11,119.11,119.11,119.11,0,0
09/20/1999,17:00,118.33,118.33,118.33,118.33,0,0
09/21/1999,17:00,117.58,117.58,117.58,117.58,0,0
09/22/1999,17:00,118.20,118.20,118.20,118.20,0,0
09/23/1999,17:00,116.00,116.00,116.00,116.00,0,0
09/24/1999,17:00,115.64,115.64,115.64,115.64,0,0
09/27/1999,17:00,117.29,117.29,117.29,117.29,0,0
09/28/1999,17:00,116.76,116.76,116.76,116.76,0,0
09/29/1999,17:00,116.71,116.71,116.71,116.71,0,0
09/30/1999,17:00,115.85,115.85,115.85,115.85,0,0
10/01/1999,17:00,117.07,117.07,117.07,117.07,0,0
10/04/1999,17:00,117.24,117.24,117.24,117.24,0,0
10/05/1999,17:00,117.11,117.11,117.11,117.11,0,0
10/06/1999,17:00,118.34,118.34,118.34,118.34,0,0
10/07/1999,17:00,120.36,120.36,120.36,120.36,0,0
10/08/1999,17:00,120.91,120.91,120.91,120.91,0,0
10/11/1999,17:00,118.38,118.38,118.38,118.38,0,0
10/12/1999,17:00,120.22,120.22,120.22,120.22,0,0
10/13/1999,17:00,115.66,115.66,115.66,115.66,0,0
10/14/1999,17:00,116.53,116.53,116.53,116.53,0,0
10/15/1999,17:00,116.14,116.14,116.14,116.14,0,0
10/18/1999,17:00,115.77,115.77,115.77,115.77,0,0
10/19/1999,17:00,116.90,116.90,116.90,116.90,0,0
10/20/1999,17:00,118.59,118.59,118.59,118.59,0,0
10/21/1999,17:00,120.31,120.31,120.31,120.31,0,0
10/22/1999,17:00,120.85,120.85,120.85,120.85,0,0
10/25/1999,17:00,119.94,119.94,119.94,119.94,0,0
10/26/1999,17:00,118.12,118.12,118.12,118.12,0,0
10/27/1999,17:00,119.15,119.15,119.15,119.15,0,0
10/28/1999,17:00,121.82,121.82,121.82,121.82,0,0
10/29/1999,17:00,124.08,124.08,124.08,124.08,0,0
11/01/1999,17:00,123.70,123.70,123.70,123.70,0,0
11/02/1999,17:00,121.99,121.99,121.99,121.99,0,0
11/03/1999,17:00,122.32,122.32,122.32,122.32,0,0
11/04/1999,17:00,122.22,122.22,122.22,122.22,0,0
11/05/1999,17:00,127.06,127.06,127.06,127.06,0,0
11/08/1999,17:00,122.30,122.30,122.30,122.30,0,0
11/09/1999,17:00,122.06,122.06,122.06,122.06,0,0
11/10/1999,17:00,122.14,122.14,122.14,122.14,0,0
11/11/1999,17:00,120.68,120.68,120.68,120.68,0,0
11/12/1999,17:00,126.04,126.04,126.04,126.04,0,0
11/15/1999,17:00,124.33,124.33,124.33,124.33,0,0
11/16/1999,17:00,125.23,125.23,125.23,125.23,0,0
