<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <%K>, <%D>, <ROC>, <ZeroLine>, <RSI>, <OverBot>, <OverSld>, <ACCUMULATION_DISTRIBUTION>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>, <WILLIAMS_R>, <HIGH_PRICE_ACCELERATION>, <DISPARITY_5>, <DISPARITY_10>
6/5/2000,16:00:00,1475.75,1480.50,1467.75,1470.75,25157,1437.81,1440.82,82.39,41.71,2.14,0.00,57.05,70.00,30.00,0.37,-0.19,-8.21,8.02,0.00,16.80,-0.80,101.47,103.51
6/6/2000,16:00:00,1474.25,1476.75,1457.25,1463.50,24537,1442.48,1441.71,82.61,48.31,2.29,0.00,55.40,70.00,30.00,0.31,2.04,-6.16,8.20,0.00,22.53,-1.06,100.46,102.58
6/7/2000,16:00:00,1466.00,1477.50,1457.50,1472.50,23992,1447.94,1442.92,81.75,54.71,3.75,0.00,57.06,70.00,30.00,0.70,4.48,-4.03,8.51,0.00,16.42,-1.01,100.39,102.56
6/8/2000,16:00:00,1474.00,1477.75,1458.25,1466.75,4016,1451.36,1443.86,80.70,61.32,5.64,0.00,55.64,70.00,30.00,0.27,5.88,-2.05,7.93,0.00,21.26,-1.00,99.79,101.70
6/9/2000,16:00:00,1471.00,1484.00,1455.50,1462.50,1629,1453.38,1444.59,80.43,67.73,3.32,0.00,54.56,70.00,30.00,0.61,6.57,-0.33,6.90,0.00,28.03,-0.56,99.68,100.90
6/12/2000,16:00:00,1486.00,1490.50,1468.50,1469.00,19073,1456.22,1445.54,79.51,73.22,2.64,0.00,55.97,70.00,30.00,1.27,7.56,1.25,6.31,0.00,31.72,-0.10,100.15,100.74
6/13/2000,16:00:00,1468.75,1496.00,1465.75,1494.25,29077,1463.14,1447.45,85.85,78.35,2.52,0.00,61.01,70.00,30.00,0.89,10.26,3.05,7.21,0.00,2.33,0.00,101.44,102.01
6/14/2000,16:00:00,1495.00,1507.50,1489.50,1497.25,26965,1469.34,1449.41,91.23,81.79,1.73,0.00,61.58,70.00,30.00,0.74,12.50,4.94,7.56,0.00,16.94,0.00,101.31,101.69
6/15/2000,16:00:00,1498.25,1506.25,1486.25,1498.25,25364,1474.60,1451.32,94.78,84.36,2.85,0.00,61.78,70.00,30.00,0.45,14.19,6.79,7.40,0.00,17.79,-0.09,100.94,101.44
6/16/2000,16:00:00,1500.50,1504.00,1479.50,1488.00,21497,1477.03,1452.76,90.50,85.26,3.21,0.00,58.45,70.00,30.00,0.23,14.54,8.34,6.20,0.00,37.50,-0.24,99.91,100.66
