Date, Time, Open, High, Low, Close, Volume, AvgExp, AvgExp, %K, %D, ROC, ZeroLine, RSI, OverBot, OverSld, ACCUMULATION_DISTRIBUTION, MACD, MACDAvg, MACDDiff, ZeroLine, WILLIAMS_R, HIGH_PRICE_ACCELERATION, DISPARITY_5, DISPARITY_10
1/31/2011,16:00:00,1269.5,1283.75,1262.25,1282.5,2318142,1282.9,1251.53,58.7,72.05,1.36,0,56.47,70,30,0.62,9.93,12.23,-2.29,0,45.64,-1.24,99.76,99.84
2/1/2011,16:00:00,1282,1306,1281.25,1302.25,2080447,1286.42,1253.52,59.39,69.77,2.9,0,64.57,70,30,0.95,10.81,11.94,-1.14,0,8.57,0,101.05,101.31
2/2/2011,16:00:00,1302.5,1305.5,1298,1300.25,1380930,1288.94,1255.35,78.76,70.56,2.3,0,63.29,70,30,0.43,11.21,11.8,-0.59,0,13.14,-0.04,100.79,100.98
2/3/2011,16:00:00,1300.25,1305.75,1291.5,1303.5,1827469,1291.58,1257.24,90.86,73.9,2.68,0,64.52,70,30,0.39,11.65,11.77,-0.12,0,5.71,-0.02,100.91,101.03
2/4/2011,16:00:00,1303.5,1308.5,1298,1307.5,1576942,1294.48,1259.21,93.08,76.88,3.18,0,66.04,70,30,0.48,12.19,11.85,0.34,0,2.16,0,100.64,101.13
2/7/2011,16:00:00,1307.25,1320,1306,1314.5,1509268,1298.12,1261.38,93.91,79.3,3.91,0,68.57,70,30,0.89,13.02,12.09,0.94,0,9.52,0,100.68,101.46
2/8/2011,16:00:00,1314.75,1322.25,1313,1321.25,1443712,1302.32,1263.73,95.43,80.78,4.08,0,70.82,70,30,0.84,14.07,12.48,1.59,0,1.67,0,100.9,101.71
2/9/2011,16:00:00,1321.5,1322,1311.75,1318.25,1831742,1305.22,1265.86,94.09,81.63,2.77,0,68.47,70,30,0.07,14.49,12.88,1.61,0,6.67,-0.02,100.4,101.28
2/10/2011,16:00:00,1317.5,1320.5,1308.5,1314.5,2060926,1306.91,1267.77,92.92,84.13,2.48,0,65.54,70,30,0.19,14.36,13.18,1.18,0,12.92,-0.14,99.95,100.84
2/11/2011,16:00:00,1314.75,1328.75,1310,1327.5,1850450,1310.65,1270.11,93.03,87.94,2.91,0,70.29,70,30,0.76,15.12,13.57,1.56,0,2.63,0,100.63,101.4
2/14/2011,16:00:00,1326,1331.25,1324.5,1326,1180276,1313.44,1272.31,92.71,91.64,3.17,0,69.1,70,30,0.56,15.43,13.94,1.49,0,13.21,0,100.34,100.95
2/15/2011,16:00:00,1326,1329.25,1322.25,1326.25,1440108,1315.77,1274.42,94.38,93.38,2.55,0,69.2,70,30,0.46,15.52,14.26,1.26,0,12.58,-0.15,100.28,100.78
2/16/2011,16:00:00,1326.25,1336,1326,1333.25,1795830,1318.95,1276.73,93.86,93.71,4.3,0,71.76,70,30,0.97,15.97,14.6,1.37,0,7.24,0,100.58,101.06
2/17/2011,16:00:00,1332.5,1340,1328.5,1337.75,1671742,1322.37,1279.12,95.46,93.98,4.72,0,73.3,70,30,0.59,16.5,14.98,1.52,0,6.62,0,100.57,101.14
2/18/2011,16:00:00,1336.75,1343,1335,1343,1502506,1326.12,1281.63,97.85,94.41,4.9,0,75.01,70,30,0.66,17.14,15.41,1.73,0,0,0,100.73,101.26
